year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2002,0.0,0.0,0.0,0.007586901534831103,0.018152062074816788,-0.01563151223996706,-0.0046520136808829715,0.009524698724432623,0.012494489003990639,-0.0009426755636637862,-0.009596529245502139,0.03522208423923501,0.052382237877505844
2003,0.04768383959783851,-0.005422339225723105,-0.01393939196421834,0.05059536923463681,0.017378414394406905,0.0033869735288321046,-0.009870292386118806,-0.0024759633501614253,0.006712493216696203,0.03139755560022217,0.01262273673802028,0.039650920927839284,0.18971037336338847
2004,-0.003237671806211373,0.025511557599935175,-0.004375336599677593,-0.030109729400798146,0.0029072216898875514,-0.007647232024384998,-0.009489928673948267,0.018416847522938484,0.01122943290952394,0.02134720779882926,0.033549093622800674,-0.007907646396469459,0.04946524229108684
2005,-0.006454612650405145,0.010521073122439883,-0.015565679479789485,-0.007971639581062062,0.0071774832541431355,-0.005292633561310267,0.0053727111194108446,0.01972890023302054,0.04709262616372056,-0.02233533988249925,0.022612664438823593,-0.009494038037483055,0.04424008964326731
2006,0.028474955178570127,0.0016638442615368731,0.006640523164904044,0.049460243862155195,-0.03453476106286901,-0.04530831362825616,0.002752956559229025,-0.007860763049197028,-0.02358321909593919,0.002024717728186909,0.019137695357909212,-0.015795682063139527,-0.0206131272199076
2007,0.0005411715025172015,0.010524204144517046,0.016599423919112066,0.01913144173771686,0.003728830461696253,0.0007383362346560229,0.009678207530481098,-0.03367072265964832,0.03169902023914184,0.05248778547625865,-0.02998116611715651,0.016731670262279286,0.09941941274767019
2008,0.03408803418542483,0.06782546045400495,-0.04262242109199421,0.029635720909274132,0.023565335415357547,0.031323908464405914,-0.03560673345181198,-0.043941746707680474,0.0,-0.05170680996994681,0.0,0.005712326108782362,0.010392752025875307
2009,-0.006883394355910566,0.003340499433004629,-0.00711962110607034,0.022474098764367234,0.0921060368911335,-0.010374555974754895,0.012071962479688114,-0.009518656589462826,0.0488887531262594,0.026542518173372276,0.0464509912296549,-0.025627080693961468,0.20321061167453336
2010,-0.013636745778753512,0.002882175271348375,-0.0024502366164712575,0.02521610399428198,-0.026968735114702214,0.00550788422575943,0.00759334370530218,-0.006138141384284812,0.06533155191018869,0.02600714086902789,-0.001203936987519194,0.05144117302585993,0.13777752322039993
2011,-0.018188851820875596,0.011702024462789451,0.01656610145620574,0.057790307732883406,-0.02816789781151574,-0.003846090138786673,0.0263745615042279,0.0019853826215490145,-0.0413574469803526,0.0043152505302683775,-0.011311257911725936,-0.026902272326501997,-0.014983414461790301
